Cache of repos I own / collaborate on / am a member of

repository (hashed)  total commits  my commits  LoC added by me  LoC deleted by me
         \                \                \           \______________    \
13581958d54516932d6cd6f68b2a97ed0a807a57a390e50d2708465ea5ba2bb8 1 1 88 0
ab4f91a09d88d84375760224aab64fe659c5033c2ec0fd8a56759c9c7e4707ef 17 9 921 276
3d8d87c5f980df19e1df0f06df2265be873fe7189599f0b17b1bd581ca465b2f 5 5 439 163
25ee7027f532a75228ee0758d86cd6ad26d645f23975f20516dbd864467de6f6 538 0 0 0
0fb0ddcee714b5be1eea5ab70619e5d0c13c2f14d06f4d80a9caef37570f0aff 13 13 898 393
bd57c934cfd66a7dfb9a50b0d4544f402992b6de4a1eaa567f4f716136965410 115 0 0 0
edb98c28fc460007150863babaeb3f90e3e63a115c1f756c9a9c17a246c3112d 3534 0 0 0
9f557c301132bd8c8e3749e272cc5350785c642edbfa3772694d329714243a8b 1 1 227 0
0ebad1eb840eaffcb25273a6bd848dbff1e47888555eddb09ec6481920c25672 4 4 902 20
771860ccf2eabc7d4e09e6528f3c0ad82ea98c167a7de11a8e25db3b4bb9e7e8 216 1 297 238
b2d8a3a02a0c7a110f2218e5f6de0983b1683be0e71b11f715a456f4125c021c 1 1 12631 0
1611fd41ccdcbb46e1fcb698a019734333f04c5430f452f1d4e5ccb34748ed24 270 1 2 1
c65b11e73c7b5321d69279abf03161c0ed6a3feac23153ef70eb873ea363a707 446 2 2 98
152eb8fc4c9bffba645cdb8f4027e8571548d36a1c51fabad95c55544af67155 75 1 14 8
e2995cf5d3f719f260098b99b1af7a50e577c332da44f441881c0a5a125d8016 49301 4 25 17
8baf4c935415cb2b024af60ffac2e7ef2b48af9248e486c325cb354a9f4539fb 7 1 9 8
324112f98d42f19821b9c25c135829f8dfdad983aa3604c0fef91c0200be7e0c 2 2 2138 6
e1f7abe7dcb52b2325ff311b379de37739145af8ba5852a4d65ba363bbbf6880 1 1 1389 0
f6960d17028dcd9a2381efee59970a60c2758a0d5c54839953f88cea30aa683d 1 1 1698 0
56faec8d3c9322f934bc020347813de87e977918b70f9baeac0df03768e0529c 1 1 3802 0
aa6e2738f69d14f2f016da80fe878608cf4574a62c25a21306ff5e4287bff275 1047 4 62 1
e2b5f836c919b2099651d2f832beb72d12750bfd79662e2e771b443bee04f6d7 482 1 45 0
7ce603c9af84eac0c5e8e939da7868d6a4b93600de29ec0331c0947a2ebb2ea2 2861 40 169 111
8273963d07ee1b4d6c3812ba780750604a038071c9d766f526c82a355633dc0f 49075 0 0 0
1999dbe97d4cf1135411bb95e45fdc903545616d4749e8c2952714d05ffa2eea 3 3 1626 0
ebf20f09d2da3add6f479f128981c1fd89c314dcc13a224fe0bfadddc539f74f 10 1 3 0
6235d83752d301039d4989ed06878636c588cc53e39c2444c4cd0a32a9afed58 2 2 1706 300
4fa3acd5e0b823c8b056c61e6c946ae973556d7487e1ab7918edbdeebe0422e0 136 0 0 0
8c20518948159cb2fe65c5996be8c80b9fd8fd4b09775df66f78efccaf94a64a 153 0 0 0
